,page_id,status,date,type,operator,registration,msn,first_flight,crew,passengers,total,aircraft_damage,location,phase,nature,departure_airport,destination_airport,narrative,time,engines,collision_casualties,aircraft_fate,crash_site_elevation,flightnumber,total_airframe_hrs,ground_casualties,operating_for,leased_from,cycles,operated_by,on_behalf_of
0,19009999-01,,date unk.,Antonov An-12BK,Soviet Air Force,registration unknown,9346609,1969,Fatalities:  / Occupants:,Fatalities:  / Occupants:,Fatalities:  / Occupants:,Damaged beyond repair,Tiksi Airport (IKS) (   Russia),Unknown (UNK),Military,?,?,"The aircraft was damaged beyond repair after it reportedly overran the runway at Tiksi. Reportedly the wreckage was already there by 1982/83, the tail and some other parts are extant outside the airport boundary at Tiksi, seen in April 2017.",,,,,,,,,,,,,
1,19009999-51,,date unk.,Britten-Norman BN-2A Islander,MD Air Services,N67HA,241,1973,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Damaged beyond repair,Nassau International Airport (NAS) (   Bahamas),Landing (LDG),Unknown,?,"Nassau International Airport (NAS/MYNN), Bahamas","The Islander was damaged beyond repair after overrunning the runway at Nassau, Bahamas after 1984.",,,,,,,,,,,,,
2,19350624-0,,Monday 24 June 1935,Ford 5-AT-B Tri-Motor,Servicio Aéreo Colombiano - SACO,F-31,5-AT-006,1928-11-22  (6 years 7 months),Fatalities: 2 / Occupants: 2,Fatalities: 8 / Occupants: 11,Fatalities: 10 / Occupants: 13,Destroyed,Medellín-Enrique Olaya Herrera Airport (EOH) (   Colombia),Takeoff (TOF),Domestic Scheduled Passenger,"Medellín-Enrique Olaya Herrera Airport (EOH/SKMD), Colombia","Bogotá-Techo Airport, Colombia","Two Ford 5-AT Tri-Motor passenger planes were destroyed in a collision at Medellín-Enrique Olaya Herrera Airport (EOH), Colombia. Seventeen occupants were killed.Tri-Motor F-31, operated by SACO, swung off the runway during takeoff run and struck a SCADTA Ford Tri-Motor, registered C-31 that was taxiing towards the runway. Both aircraft caught fire. All seven on board the SCADTA plane were killed. Ten of 13 occupants of the SACO plane were killed.Among those killed on the SACO plane were: Capt Ernesto Samper Mendoza (pilot), Carlos Gardel (47, singer, actor), and Alfredo Le Pera (35, lyricist).",14:51,3 Pratt & Whitney R-1340 Wasp,Fatalities: 7,Written off (damaged beyond repair),1506 m (4941 feet) amsl,,,,,,,,
3,19361209-0,,Wednesday 9 December 1936,Douglas DC-2-115E,KLM Royal Dutch Airlines,PH-AKL,1358/F18,1935,Fatalities: 3 / Occupants: 4,Fatalities: 12 / Occupants: 13,Fatalities: 15 / Occupants: 17,Destroyed,London-Croydon Airport (   United Kingdom),Initial climb (ICL),International Scheduled Passenger,"London-Croydon Airport (-/-), United Kingdom","Amsterdam-Schiphol Municipal Airport (AMS/EHAM), Netherlands","The DC-2, named ""Lijster"", operated on a KLM passenger service from Croydon to Amsterdam. Visibility at the time of departure was limited due to fog. After running for 600 m along a white guidance line, the aircraft swerved left before becoming airborne at the edge of the airfield. The main undercarriage tore down a fence and wire netting surrounding a tennis court. The DC-2 continued for about 1,500ft (500m) before it struck the roof of one house, ploughed into another semi-detached house and burst into flames.The stewardess (Hilde Bongertmann) and one passenger (W. Schubach) survived. Juan de la Cierva, the inventor of the Autogyro died.",10:30,,,Written off (damaged beyond repair),,,,,,,,,
4,19370218-0,,Thursday 18 February 1937,Douglas DC-2-112,Eastern Air Lines,NC13734,1260,1934,Fatalities: 0 / Occupants: 3,Fatalities: 0 / Occupants: 7,Fatalities: 0 / Occupants: 10,Damaged beyond repair,"Atlanta Municipal Airport, GA (ATL) (   United States of America)",Landing (LDG),Domestic Scheduled Passenger,"Chicago Municipal Airport, IL (MDW/KMDW), United States of America","Atlanta Municipal Airport, GA (ATL/KATL), United States of America",The aircraft ran against an embankment just after landing. The occupants were not injured. The aircraft operated on a flight from Chicago to Atlanta and Miami.,,,,,,,,,,,,,
5,19390499-0,,xx APR 1939,Fokker F.VIII,Venezuelan Government,YV-AFO,5041,1928,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants: 4,Damaged beyond repair,near Uruyén (   Venezuela),Landing (LDG),Survey/research,?,"Kamarata Airport (KTV/SVKM), Venezuela","This former KLM Fokker F.VIII named ""Duif"" was sold to the Venezuelan Government in March 1939. In April 1939, this airplane flew to the Gran Sabana, to try to find Capitan Cardona Puig who was being accosted by the Pemones indians in the area of Kamarata. The airplane landed at Kamarata with a tail wind and the pilot was unable to stop the plane in time. It ran into a ditch and the left engine caught fire. The crew were able to put the fire out but the plane had to be left behind.The remains were found in 2001, recovered and transported to the Aviodome Museum, the Netherlands.",,,,,,,,,,,,,
6,19390905-0,,Tuesday 5 September 1939,Vickers Valentia,Royal Air Force - RAF,K2345,,1931,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Damaged beyond repair,Catterick RAF Station (   United Kingdom),Landing (LDG),Military,"Catterick RAF Station, United Kingdom","Catterick RAF Station, United Kingdom","On either 4th or 5th September 1939 (the exact date of the accident is not known) this aircraft overshot a landing at RAF Catterick when the grass runway was wet and shorter than was required for this larger twin engined bi-plane to land on. The aircraft ran through the boundary hedge and came to rest on or very close to the A1 road. There were a number of people on board but the only injuries are believed to have been to the pilot.Valentia K2345 was built by Vickers (Aviation) Ltd., at Weybridge as a Vickers Victoria and was delivered to the Director of Technical Development (Air Ministry) at Vickers on 2nd October 1931. It was flown to the RAF Packing Depot at Sealand on 10th November 1931 and sent by ship to the Aircraft Depot at Hinaidi, arriving their on 5th December 1931 where it was assembled and prepared for use by 70 Squadron at Hinaidi. It later transferred to 216 Squadron at Heliopolis on 12th January 1933 and then to the RAE at Farnborough, arriving there on 13th October 1933 for loudspeaker trials. It returned to Vickers (Aviation) Ltd at Weybridge for conversion to Valentia on 21st August 1934 and on completion of conversion it was passed to 2 ASU (Aircraft Storage Unit) at Cardington on 1st March 1935. It was then issued to the Electrical and Wireless School (E&WS) at Cranwell on 14th January 1936. E&WS became 1 E&WS on 1st November 1938.",,,,,,,,,,,,,
7,19390928-0,,Thursday 28 September 1939,Douglas DC-2-210,Australian National Airways - ANA,VH-UYB,1563,1937,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Substantial,"Sydney-Mascot Airport, NSW (SYD) (   Australia)",Landing (LDG),Domestic Scheduled Passenger,?,"Sydney-Mascot Airport, NSW (SYD/YSSY), Australia","The DC-2, named ""Pengana"", overrun into Cooks River on landing.",,,,Repaired,,,,,,,,,
8,19391115-0,,Wednesday 15 November 1939,Junkers Ju-52/3mge,Fuerza Aérea Argentina - FAA,T-166,6224,,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Minor,"El Palomar, BA (   Argentina)",Takeoff (TOF),Military,"El Palomar Airport, BA (EPA/SADP), Argentina",?,Veered off the runway on takeoff and collided with Ju-52/3m T-168 (6354) . Both repaired. No casualties.,,,,Repaired,,,,,,,,,
9,19400403-0,,Wednesday 3 April 1940,Douglas DC-2-112,Transcontinental & Western Air - TWA,NC13786,1296,1935,Fatalities: 0 / Occupants: 3,Fatalities: 0 / Occupants: 12,Fatalities: 0 / Occupants: 15,Damaged beyond repair,"Pittsburgh-Allegheny County Airport, PA (AGC) (   United States of America)",Landing (LDG),Domestic Scheduled Passenger,?,"Pittsburgh-Allegheny County Airport, PA (AGC/KAGC), United States of America",The DC-2 suffered a runway excursion and went down an embankment after night time landing in a storm.,,,,,,,,,,,,,
